UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Davie_Wolf Lake Park,8.91E-05,8.34E-05,4.81E-05,1.76E-05,4.25E-06,0,0.000121902,5.19E-05,1.06E-06,4.94E-06,1.65E-05,3.89E-05,2.01E-05,2.24E-05,5.58E-07,5.22E-06,7.48E-05,0.009146341,0,0.009146341,0.008969548,0.000176793,0.00011771,-0.345252387,2,mean_ndvi
Deerfield Beach_Ada Graham-Johnson Park,3.04E-05,9.02E-05,2.25E-05,5.62E-06,6.07E-06,0,2.55E-05,2.26E-05,0,1.67E-05,9.89E-07,8.35E-06,3.36E-06,3.33E-06,3.86E-06,2.23E-06,2.73E-05,0,0.000769231,-0.000769231,4.62E-05,-4.62E-05,4.89E-05,0.162981225,1,tree
Deerfield Beach_Branhilda Richardson-Knowles Memorial Park,9.97E-06,5.03E-06,1.89E-07,8.14E-06,1.38E-06,0,9.07E-06,6.62E-06,1.87E-08,1.87E-08,1.26E-06,0,1.48E-07,0,0,7.48E-08,1.15E-05,0,0,0,0,0,5.69E-06,-0.013784896,1,Biodiversity
Deerfield Beach_Central Crystal Heights,8.77E-06,1.98E-05,2.70E-06,1.65E-06,3.27E-06,0,1.25E-05,2.96E-05,8.09E-07,1.72E-06,2.43E-06,8.88E-07,4.51E-06,9.66E-07,1.27E-07,7.24E-06,1.19E-05,0,0,0,5.48E-05,-5.48E-05,0.000135557,-0.041529856,1,mean_ndwi
Deerfield Beach_Constitution & Arboretum Park,2.36E-05,6.36E-05,1.76E-05,7.19E-06,6.28E-06,0,3.31E-05,5.31E-05,6.82E-07,2.59E-05,6.10E-07,9.15E-06,4.08E-06,8.18E-07,1.62E-06,5.19E-06,4.93E-05,0.011538462,0,0.011538462,0.010335465,0.001202997,2.17E-05,-0.780299844,1,tree
Deerfield Beach_Cornerstone Park,0.00021298,5.67E-05,5.86E-05,0,0,0,3.94E-06,8.10E-06,0,0,0,0,1.58E-07,4.39E-05,0,0,7.55E-05,0,0,0,0,0,0.00013294,-0.054879022,1,area
Deerfield Beach_Hillsboro Community Center,3.07E-06,3.39E-06,5.82E-07,1.18E-06,1.02E-06,0,5.80E-06,7.24E-06,0,0,8.98E-07,0,0,0,0,7.10E-07,4.31E-06,0,0,0,0,0,1.33E-05,0.010680752,1,mean_ndwi
Deerfield Beach_Kirk Cottrell Pavilion,2.68E-05,2.58E-05,2.32E-06,3.38E-05,1.55E-05,0,2.41E-05,2.15E-05,0,1.98E-06,1.05E-06,1.75E-06,1.60E-07,0,0,0,2.08E-05,0,0.001055046,-0.001055046,8.03E-05,-8.03E-05,6.00E-06,-0.068903712,1,water
Deerfield Beach_Mayo Howard Park,4.28E-05,3.70E-06,3.09E-05,0,0,0,0,3.47E-06,5.51E-07,0,0,0,0,9.45E-07,0,0,1.73E-06,0,0,0,0,0,0.000126142,-0.000935756,1,area
Deerfield Beach_North Crystal Heights,2.13E-05,2.68E-05,2.81E-06,1.68E-06,4.23E-06,0,1.54E-05,2.71E-05,2.15E-06,5.42E-06,2.52E-06,6.30E-07,5.58E-06,5.19E-07,4.30E-07,7.39E-06,2.56E-05,0,0,0,1.95E-05,-1.95E-05,1.65E-05,-0.353146791,1,mean_ndwi
