UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Fort Lauderdale_Holiday Park,6.527297036,3.238625527,1.781291625,0.238016595,0.278938492,0,2.179979673,7.585979354,0.267167347,0.334986874,0.690711941,0.150513889,0.940935745,0,2.280189755,1.034620338,3.618144619,7,4.777777778,2.222222222,6.892357143,0.107642857,2.612073608,-0.152385415,1,mean_ndwi
Fort Lauderdale_Hortt Park,1.807470599,0.909146298,0.565075411,1.037176893,2.54713746,0,1.310867785,1.485352439,0.215851912,1.168770937,2.940204684,0.78449359,0.286722583,0.787071026,0,0.195279942,0.92576733,4,4.151111111,-0.151111111,4.065888889,-0.065888889,2.8804555,0.189147916,1,Body_of_water
Fort Lauderdale_Idlewyld Park-Merle Fogg Park,9.67405507,1.312904776,4.847958791,3.668595946,0.088201132,0,8.88059478,12.45643576,1.078425158,1.336365801,0.188645244,1.85865429,4.111123377,0,0.141683761,0.064785714,11.29271723,2,4.901754386,-2.901754386,2.90609127,-0.90609127,4.82728041,-0.094739618,1,mean_ndwi
Fort Lauderdale_Las Olas Oceanside Park,13.93390389,1.027034577,3.584554015,5.837360514,0.082123016,0,11.85268808,15.11113178,0.75991811,1.525331432,0.276761239,2.659097777,6.051623904,0,0.03689652,0.167046856,14.9089651,6,4.671929825,1.328070175,5.592160256,0.407839744,5.539858713,-0.272834059,1,mean_ndwi
Fort Lauderdale_Lauderdale Manors Park,4.532430805,3.897515707,4.087738317,0.097819444,0.257724206,0,2.684596681,3.020204296,0,0.203695346,0.142294317,1.068437396,0.389238609,0,0,0.244527944,2.794877942,4,3,1,3.933111111,0.066888889,3.020827108,-0.338341124,1,area
Fort Lauderdale_Lewis Landing Park,2.29873403,3.560447941,0.998704212,0.063016636,0.592246587,0,1.230416223,1.148496392,0.753365343,0.352034979,0.570441975,1.859051546,0.035741481,0.076475469,0,0.556172508,1.363317377,6,4.2125,1.7875,5.758492063,0.241507937,1.507382372,-0.076701694,1,tree
Fort Lauderdale_Lincoln Park,1.75753108,5.173661602,3.445678807,0.159015998,0.215934843,0,2.664718892,1.443668651,0.25729347,0.157425366,0.102825758,0.282944347,0.121474928,0.472244852,0,1.097003288,1.877272561,2,4.011111111,-2.011111111,2.342638889,-0.342638889,3.116078175,-0.363284202,1,tree
Fort Lauderdale_Loggerhead Park,11.58776461,1.355565976,0.665305472,0.136138584,0.76349069,0,4.766358072,2.596313839,2.071071331,0.839192766,5.570291972,1.540549825,0.048766178,0,0.45341743,0.2111226,3.994862956,6,3.3225,2.6775,5.104339286,0.895660714,3.268659174,-0.217053948,1,area
Fort Lauderdale_Lu Deaner Park,12.96162485,1.945479701,0.159364316,0.187639666,0.366381494,0,3.622461691,2.723143398,1.578463037,0.898253413,6.87357659,1.412014291,0.118519689,0,0.146871032,0.362832848,3.814431527,2,2.590625,-0.590625,2.28675,-0.28675,2.852166111,-0.061976743,1,area
Fort Lauderdale_Mangurian Park-Coral Ridge Country Club,3.021752165,2.716453158,2.788410673,0.200421176,0.996069764,0,1.958212426,3.214866911,0.500648629,0.239181333,0.956544567,0.437749278,0.447693001,0,0,1.00262722,1.95946097,5,4.75,0.25,4.995666667,0.004333333,4.688132296,-0.547968211,1,mean_ndwi
