UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Margate_Southeast Park,9.15E-05,3.94E-05,4.03E-06,0,1.69E-07,0,2.83E-05,3.13E-05,1.99E-08,1.03E-05,0,3.28E-07,2.07E-06,3.35E-06,0,6.34E-08,2.49E-05,0,0.001975758,-0.001975758,0.000111588,-0.000111588,0.000139455,-0.012739343,1,area
Margate_Southgate Park,0.000850817,0.000204029,5.08E-05,5.09E-07,5.00E-06,0,8.12E-05,0.000235336,8.51E-06,0.000465573,4.33E-07,7.03E-05,3.62E-05,4.40E-06,0,0,0.000182296,0,0.002424673,-0.002424673,0.000345302,-0.000345302,0.000195272,-0.427542876,1,area
Margate_Veterans Memorial Park,0.000854401,0.000383146,0.000173996,1.13E-07,2.56E-05,0,0.000290718,0.000760387,4.25E-05,0.000739714,4.98E-07,5.08E-05,3.48E-05,2.45E-05,0,0,0.000584808,0.045454545,0,0.045454545,0.035548972,0.009905573,0.000236741,-0.727497662,1,area
Margate_Vinson Park,0.000968889,0.000294169,8.84E-05,0,8.67E-06,0,0.000160804,0.00080161,6.89E-07,0.00057858,3.16E-05,2.80E-05,8.36E-05,1.48E-05,1.97E-07,4.92E-08,0.000252132,0,0,0,2.27E-05,-2.27E-05,0.000197874,-0.436564343,1,area
Margate_Winfield Park,3.48E-06,1.93E-06,1.32E-07,0,4.51E-06,0,1.05E-06,3.09E-06,6.12E-09,5.20E-07,0,0,3.49E-07,2.96E-06,0,0,2.97E-06,0,0,0,0,0,2.51E-06,-0.024076397,1,herbaceous_wetland
Miramar_19th Street Park,2.84E-06,4.53E-06,3.65E-06,4.27E-06,2.22E-06,0,0,1.11E-06,0,6.21E-07,2.95E-06,0,0,3.74E-06,0,0,2.34E-07,0,0,0,0,0,3.02E-06,-0.032875329,1,tree
Miramar_Ansin Sports Complex,0.000543173,0.000232416,0.000499245,7.78E-06,0.000205788,0,0.000784316,0.000652524,0.000488437,1.33E-05,0,5.42E-05,9.56E-05,0,2.51E-07,0.000123809,0.00062177,0,0.076923077,-0.076923077,0.000663343,-0.000663343,0.001014136,-1.530829662,6,mean_ndvi
Miramar_Beauty Park,8.13E-06,6.20E-06,1.01E-05,1.04E-05,6.17E-06,0,3.60E-06,1.49E-06,8.84E-07,0,5.64E-06,0,0,8.10E-06,0,2.92E-07,2.20E-07,0,0,0,0,0,3.12E-06,-0.065445535,1,water
Miramar_Beekman Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000394477,0,1,area
Miramar_Bernard Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000394477,0,1,area
Miramar_Civic Center Park,5.20E-06,2.96E-06,4.91E-06,5.00E-06,4.25E-06,0,5.35E-06,1.43E-06,1.75E-07,8.77E-08,4.10E-06,3.95E-07,0,7.78E-06,0,0,3.95E-07,0,0,0,2.59E-05,-2.59E-05,3.81E-06,-0.303118461,1,Nature_Preserve
Miramar_Fairway Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Miramar_Flamingo Estates Park,0.000135147,1.60E-07,0.000201384,3.21E-07,0.000124371,0,0.000177288,6.08E-05,6.02E-06,0,1.37E-07,9.75E-06,2.40E-08,0,0,9.85E-07,5.54E-05,0,0.000487329,-0.000487329,0.000373538,-0.000373538,0.000483652,-0.029370302,1,grassland
Miramar_Forzano Field,0.000290328,0.000275077,0.000258277,0,5.32E-05,0,0.000557567,0.000530279,2.98E-05,4.07E-06,7.80E-06,0.000205205,2.29E-06,0,2.68E-07,3.70E-06,0.000707018,0,0.010749507,-0.010749507,0.003416667,-0.003416667,0.000489477,-0.246269302,1,Biodiversity
Miramar_Historic Miramar Aquatic Complex,5.79E-06,4.03E-06,6.71E-06,5.58E-06,6.44E-06,0,7.08E-06,1.52E-06,0,0,3.01E-06,2.65E-08,0,5.54E-06,0,0,1.74E-07,0,0,0,0,0,4.05E-06,-0.383968099,1,mean_ndvi
Miramar_Lakeshore Park,0.000163939,0.000115878,0.000186391,0,3.34E-05,0,9.78E-05,0.000219217,0,0,4.93E-07,5.55E-05,2.87E-06,0,0,0,9.88E-05,0,0.007051282,-0.007051282,0.002410256,-0.002410256,0.000409559,-0.038232439,1,mean_ndwi
Miramar_Miramar Regional Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67E-06,1.11E-16,1,area
Miramar_Monarch Lakes Park,5.12E-05,6.53E-05,0.000159396,1.99E-07,7.59E-05,0,0.000122993,0.000170881,2.83E-06,2.29E-07,3.48E-07,1.10E-06,1.20E-06,0,0,3.13E-08,4.58E-05,0,0,0,2.55E-05,-2.55E-05,0.000485535,-0.033378061,1,mean_ndwi
Miramar_Perry Park-Wellman Field,5.32E-06,5.93E-06,7.31E-06,5.85E-06,6.08E-06,0,4.68E-06,1.86E-06,6.43E-07,1.67E-08,5.23E-06,1.07E-07,0,6.93E-06,0,0,2.28E-07,0,0,0,8.28E-06,-8.28E-06,4.06E-06,-0.388705782,1,grassland
Miramar_River Run Park,0.000215979,0.000197654,0.000146598,1.19E-06,4.22E-05,0,0.000448769,0.000340778,0.00011666,3.87E-07,1.35E-05,0.000113085,9.51E-06,0,5.29E-07,5.11E-05,0.000773353,0,0.018315018,-0.018315018,0.002903555,-0.002903555,0.000519822,-0.297242711,1,Biodiversity
Miramar_Sawyer Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Miramar_Sheraton Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000394477,0,1,area
Miramar_Shirley Branca Park,4.24E-06,3.48E-06,5.04E-06,3.65E-06,4.39E-06,0,4.33E-06,1.63E-06,2.05E-07,0,2.43E-06,2.92E-08,0,6.17E-06,0,0,1.83E-07,0,0,0,6.62E-06,-6.62E-06,3.62E-06,-0.238315474,1,Nature_Preserve
Miramar_Silver Lakes Tennis Complex,5.34E-07,1.04E-06,0,1.87E-07,1.87E-07,0,3.74E-07,0,0,0,5.61E-07,2.14E-07,3.74E-07,5.61E-07,0,0,7.48E-07,0,0,0,0,0,2.67E-06,-0.000652057,1,tree
Miramar_Silver Shores Park,5.98E-08,5.84E-08,4.99E-08,7.98E-08,6.98E-08,0,3.99E-08,0,0,0,4.99E-08,0,0,0,0,3.46E-08,4.99E-08,0,0,0,0,0,1.48E-07,-0.040502156,1,water
Miramar_Veteran's Memorial Park,8.27E-06,7.33E-06,7.72E-06,9.39E-06,7.78E-06,0,4.75E-06,1.02E-06,9.61E-07,2.92E-08,9.48E-06,0,0,8.65E-06,0,0,8.88E-08,0,0.000509424,-0.000509424,0.000112583,-0.000112583,3.16E-06,-0.081362552,1,Body_of_water
Miramar_Vizcaya Park,9.40E-08,6.84E-08,6.84E-08,8.98E-08,6.84E-08,0,4.99E-08,4.84E-08,0,0,2.99E-08,9.97E-09,0,0,0,1.19E-08,1.07E-07,0,0,0,0,0,0.000462703,-0.001640091,1,Biodiversity
North Lauderdale_Bicentennial Park,0.00044407,0.000133779,5.59E-05,9.02E-07,1.19E-06,0,7.21E-05,0.000172155,7.64E-07,0.000166413,5.12E-07,9.49E-06,1.93E-05,9.13E-06,0,0,0.000176119,0,0.015574485,-0.015574485,0.003070616,-0.003070616,0.000210026,-0.535397176,1,area
North Lauderdale_Broadview Community Park,0.000257912,5.74E-05,5.12E-05,3.37E-06,3.59E-06,0,8.33E-05,4.44E-05,1.10E-06,0.000118036,2.83E-06,1.79E-05,3.29E-06,1.58E-05,0,0,0.00019148,0,0.001893939,-0.001893939,0.000981061,-0.000981061,0.00016669,-0.21859466,1,area
North Lauderdale_Hampton Pines Park,6.71E-05,5.43E-05,3.39E-05,4.29E-06,5.52E-06,0,1.39E-05,2.04E-05,2.87E-06,0.000166222,2.36E-06,1.09E-05,6.71E-05,2.51E-07,6.24E-07,6.41E-08,3.29E-05,0.003508772,0,0.003508772,0.003523644,-1.49E-05,0.00015942,-0.122503796,1,Kids_Playground
North Lauderdale_TOT Park,0.000116814,0.000575362,0.000131858,1.48E-06,8.92E-05,0,9.67E-05,7.03E-05,2.42E-05,0.000230314,2.26E-05,6.47E-06,4.69E-05,7.34E-07,4.17E-05,6.82E-07,0.000204162,0,0.00971251,-0.00971251,0.001997475,-0.001997475,0.000188712,-0.328750727,2,tree
Oakland Park_Cherry Creek Park,0.001142664,0.000103522,0.00170415,0.000198573,0.000386425,0,0.000381986,0.000754601,3.20E-05,8.10E-05,0,2.33E-05,3.10E-05,0,1.43E-05,6.03E-05,0.000218308,0,0.05,-0.05,0.000503739,-0.000503739,0.000521178,-0.657399815,1,grassland
Oakland Park_Dr. Carter G. Woodson Park,0.000335925,0.000739584,0.000278281,0,0.000130911,0,0.000146045,0.000278032,0.000216475,0.000250108,0,8.79E-05,0.000278428,0,3.08E-07,4.06E-07,0.000161769,0,0,0,9.15E-05,-9.15E-05,0.000260186,-0.555738664,1,tree
Oakland Park_Jaco Pastorius Park,0.000676734,0.000338393,0.000946149,6.86E-05,0.000628326,0,0.000630017,0.000975473,7.87E-06,0.000328058,5.57E-06,0.000138953,0.000571457,0,1.68E-06,6.46E-05,0.000592473,0.05,0.008888889,0.041111111,0.042427609,0.007572391,0.000465633,-0.417396794,1,mean_ndwi
Oakland Park_Lakeside Sand Pine Preserve,0.000764256,0.000764036,0.001193514,1.44E-05,0.001558275,0,0.002267318,0.005858025,0.000410543,0.002660273,8.23E-06,4.42E-05,0.001211493,0.005173354,0,0,0.004556658,0.111111111,0,0.111111111,0.099490741,0.01162037,0.001139674,-0.384703965,1,mean_ndwi
Oakland Park_Stunson Nature Trail,0.000256908,0.000294753,0.000676955,3.60E-06,0.000157922,0,0.000345679,0.001646091,1.88E-05,0.000349353,8.15E-05,0,0,0.001657554,0,0,0.00215726,0,0.017094017,-0.017094017,0.002973545,-0.002973545,0.001067399,-0.139407582,1,Biodiversity
Oakland Park_Veterans Park,0.000378601,0.000150206,0.00099515,0.000116794,0.000498898,0,0.000759774,0.004439349,0.000109421,0.001136537,4.07E-05,8.23E-06,0,0.003519327,0,0,0.00329659,0,0.010457516,-0.010457516,0.001916667,-0.001916667,0.001163797,-0.414013342,1,mean_ndwi
Oakland Park_Wimberly Fields Park,0.000350938,0.00101183,0.000400109,2.68E-06,0.000198936,0,0.000295184,0.000425645,0.000103661,0.00043119,2.62E-05,2.71E-05,0.000277813,0,0,1.98E-05,0.000168839,0,0.020833333,-0.020833333,0.004925,-0.004925,0.000301506,-0.802805174,1,tree
Parkland_Barkland Dog Park,1.98E-05,1.04E-06,2.79E-05,2.34E-05,2.20E-05,0,1.06E-06,1.95E-06,1.76E-07,1.35E-07,3.37E-08,2.02E-07,1.64E-06,0,0,0,2.17E-05,0,0,0,0,0,8.10E-06,-0.050840887,1,grassland
Parkland_Covered Bridge Park,2.31E-05,3.67E-05,3.61E-05,0,1.73E-05,0,5.51E-05,8.60E-05,5.59E-05,3.35E-06,1.13E-05,0,6.23E-07,6.16E-06,0,3.22E-07,0.000131788,0,0,0,0.00017094,-0.00017094,8.91E-05,-0.254273508,1,Biodiversity
