UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Plantation_Marcano Estates Park,0.158940432,0.037407321,0.150740867,0.000379062,0.039240812,0,0.28612242,0.159008841,0.006605506,0.011277536,0.007503627,0.088845909,0.026103015,0,0,0.041176961,0.16581907,0,0.410256667,-0.410256667,0.084086262,-0.084086262,0.066513391,0.144574754,1,mean_ndvi,,,,
Plantation_Mirror Lake Park,0.071773128,0.064006814,0.115681465,0.002795434,0.090357645,0,0.324440423,0.185254449,0.005803186,0.025618113,0.005820536,0.057516473,0.012913747,0,0,0.049891246,0.21312452,0.285714286,0.544871136,-0.25915685,0.260290223,0.025424063,0.054357663,0.313373671,1,mean_ndvi,,,,
Plantation_PAL Park-Roy Salmon Stadium,0.087531834,0.036960276,0.066198004,0.00762828,0.077191016,0,0.25738848,0.190843835,0.003762018,0.033614368,0.000468927,0.035217315,0.016755422,0,0,0.062057228,0.246805397,0.666666667,0.688635586,-0.021968919,0.686432349,-0.019765682,0.052851332,0.333901793,1,mean_ndvi,,,,
Plantation_Park East Park,0.043878846,0.096991901,0.027217491,0.001207155,0.019008745,0,0.042723013,0.062119927,0.021303568,0.01659013,0.006971224,0.032347986,0.023433099,0,0,0.005186839,0.125111008,0.666666667,0.67526879,-0.008602123,0.676724204,-0.010057537,0.05812013,-0.505066701,1,Biodiversity,,,,
Plantation_Pine Island Park,0.100631458,0.012701099,0.103005259,0.006493038,0.053237753,0,0.072219352,0.089317614,0.004506134,0.000956728,0.000726247,0.03354835,0.00770644,0,0,0.002376281,0.020703748,0.733333333,0.637799565,0.095533769,0.725716779,0.007616554,0.061089438,-0.053023918,1,grassland,,,,
Plantation_Plantation Central Park,0.120216658,0.034756059,0.098185681,0.000948181,0.035437218,0,0.129438914,0.076101942,0.001314018,0.00092177,0.004082866,0.076114294,0.020559505,0,0,0.019020192,0.042232274,0.748031496,0.67954326,0.068488236,0.740574694,0.007456802,0.064893997,-0.10634123,1,mean_ndvi,,,,
Plantation_Plantation Preserve Park & Linear Trail,0.037908547,0.040211687,0.054872046,0.010963995,0.048196872,0,0.059514501,0.042990237,0.059456582,0.014630773,0.007774077,0.004886138,0.00622588,0,0,0.011499097,0.068669239,0.714285714,0.428571429,0.285714285,0.703339881,0.010945833,0.088296579,-0.147738918,1,Biodiversity,,,,
Plantation_Plantation Woods-Kennedy Park,0.102874025,0.103569729,0.088674388,0.002047888,0.09820322,0,0.102116303,0.084006033,0.076890703,0.044924989,0.001527357,0.024213553,0.039098528,0,0,0.014536714,0.194654008,0.192090395,0.600023343,-0.407932948,0.257654336,-0.065563941,0.084178227,-0.598012479,1,Biodiversity,,,,
Plantation_Pop Travers Park,0.042702856,0.035333455,0.032996373,0.022036329,0.052811258,0,0.021025878,0.04280707,0.046726755,0.004064233,0.020375659,0.023557415,0.013180986,0,5.30E-05,0.003479861,0.054654751,0.777777778,0.66223462,0.115543158,0.759402598,0.01837518,0.050817302,-0.293635619,1,Biodiversity,,,,
Plantation_Rae Carole Armstrong Liberty Tree Park,0.126015794,0.036074167,0.147762498,0.000482203,0.040745612,0,0.273161618,0.136244038,0.003213547,0.037279495,0.001233721,0.041101113,0.024877427,0,0,0.028726184,0.133344425,0.640522876,0.477422817,0.163100059,0.633644929,0.006877947,0.068559331,-0.014809256,1,mean_ndvi,,,,
