UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Snake Warriors Island,0.000274842,0.000276304,0.000112568,0.00023537,0.000284971,0,5.20E-05,3.86E-05,0,0,0.000247065,0,0,0.000309928,0,0,0,0.033112583,0,0.033112583,0.028520971,0.004591612,7.46E-05,-0.020508509,1,Nature_Preserve
Broward_South Fork Canoe Launch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Sunview Park,0,7.32E-06,0,3.16E-05,1.23E-05,0,1.28E-05,0,0,0,1.26E-06,0,0,0,0,0,1.53E-05,0,0,0,0,0,9.17E-05,-0.003243494,1,water
Broward_Tall Cypress Natural Area,1.09E-05,1.33E-05,1.51E-06,0,1.18E-05,0,2.24E-06,8.94E-06,0,8.98E-06,0,6.37E-07,9.96E-06,6.49E-06,1.70E-08,1.01E-07,1.20E-05,0.006060606,0,0.006060606,0.005828283,0.000232323,3.50E-06,-0.429287311,1,tree
Broward_Topeekeegee Yugnee Park,2.70E-06,1.15E-06,8.96E-07,1.24E-06,3.94E-06,0,5.67E-06,8.85E-08,1.01E-07,1.67E-07,1.40E-07,8.46E-07,1.77E-07,0,0,6.63E-07,4.51E-06,0.001197605,0.002706185,-0.00150858,0.001408685,-0.00021108,1.94E-06,-0.073605074,1,mean_ndvi
Broward_Tradewinds Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Broward_Tree Tops Park,1.40E-05,4.33E-05,9.57E-06,7.29E-05,5.33E-05,0,4.31E-06,1.56E-05,2.85E-06,5.73E-05,5.61E-06,0,5.28E-06,4.84E-05,0,3.08E-06,5.59E-05,0.004854369,0.010796222,-0.005941853,0.006907405,-0.002053036,2.79E-05,-0.312437123,1,water
Broward_Vista View Park,1.74E-05,0.00013047,4.03E-05,1.70E-05,2.97E-05,0,0.000152083,0.00017563,0,3.65E-05,1.53E-05,6.39E-07,6.45E-06,0.000208318,1.20E-05,1.74E-05,0.000118453,0,0.010869565,-0.010869565,0.000517067,-0.000517067,5.64E-05,-0.498219207,2,Nature_Preserve
Broward_Washburn Park,5.42E-05,4.54E-05,0.00020439,0.000163896,6.71E-06,0,0.00056457,1.61E-05,1.83E-05,1.63E-05,0.000111552,1.76E-05,4.75E-06,0,0,0,0.000272617,0,0.005787037,-0.005787037,0.001638889,-0.001638889,0.066051039,0.005336066,1,mean_ndvi
Broward_West Lake Park,1.44E-05,9.91E-06,4.51E-06,9.37E-06,2.64E-06,8.94E-06,1.50E-05,3.14E-05,1.40E-08,1.73E-06,2.03E-06,2.50E-05,9.12E-07,6.79E-06,0,2.56E-06,3.22E-05,0.001855288,0.001835167,2.01E-05,0.001974624,-0.000119336,1.78E-05,-0.376481106,1,Biodiversity
