UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Long Key Natural Area and Nature Center,0.049969891,0.042255391,0.047265663,0.000621653,0.037601606,0,0.046133032,0.063360119,0.001461604,0.03448602,0.001750999,0.013803499,0.003883727,0.012827024,0.002016009,0.001453292,0.036243596,0.543859649,0.372160284,0.171699365,0.519270931,0.024588718,0.027157896,0.098860056,1,mean_ndwi
Broward_Markham Park,0.021405058,0.060827333,0.069297337,0.016002202,0.022533013,0,0.04263137,0.016348251,0.045390283,0.023591234,0.004223293,0.002104813,0.028115877,0,0.003488875,0.010915528,0.068421123,0.203679369,0.350522973,-0.146843604,0.221640569,-0.0179612,0.033543372,-0.057734538,1,grassland
Broward_Military Trail Nature Area,0.093539772,0.062502324,0.059212327,0,0.072848627,0,0.04217168,0.024656574,0.004498826,0.00381827,0,0.004120272,0.004065183,0.010253737,0.007918868,0.007879114,0.079214729,0,0.365358987,-0.365358987,0.020686513,-0.020686513,0.086231254,-0.471871566,1,area
Broward_Miramar Pineland Natural Area,0.032090563,0.045862052,0.030566316,0.000866901,0.0053552,0,0.046587407,0.036834447,0.046327917,0.002374301,0.005434194,0.020110706,0.004044466,0,0,0.001477249,0.025857396,0.222222222,0.155790344,0.066431878,0.197219487,0.025002735,0.026503463,-0.378795816,1,mean_ndvi
Broward_Pine Island Ridge Natural Area,0.073119007,0.06319015,0.054388246,0.004983552,0.013670433,0,0.011221269,0.009327778,0.007250121,0.004407007,0.001755684,0.005324541,0.004224347,0.006185203,0.000364932,0.002304754,0.022373245,0.315789474,0.440276552,-0.124487078,0.342404922,-0.026615448,0.014656338,0.3104295,1,area
Broward_Plantation Heritage Park,0.032970793,0.032583353,0.053214029,0.009116901,0.032228425,0,0.048879055,0.098180845,0.018284789,0.016333099,0.000928241,0.007546253,0.018070372,0,0.000994718,0.01205134,0.148928448,0.230496454,0.224795051,0.005701403,0.228587552,0.001908902,0.081077677,-0.112508197,1,Biodiversity
Broward_Quiet Waters Park,0.073314075,0.070672497,0.108444753,0.002473928,0.018743932,0,0.048517999,0.067412467,0,0.007520703,0.008059906,0.041665257,0.013706434,0.005512094,0.0434929,0.004983098,0.079055919,0.211081794,0.249091965,-0.038010171,0.218060561,-0.006978767,0.070503872,-0.310762132,1,grassland
Broward_Reverend Samuel Delevoe Memorial Park,0.039560056,0.013544528,0.038926372,0.067182707,0.074930326,0,0.015440588,0.094541277,0.00224194,0.053201259,0.01309988,0.031343486,0.045095877,0.00023438,0,0.005729728,0.017564873,0.325,0.35493801,-0.02993801,0.362087907,-0.037087907,0.038976237,-0.304671918,1,mean_ndwi
Broward_Roosevelt Gardens Park,0.00830753,0.008647327,0.006050715,0.001962626,0.003389219,0,0.009237496,0.012779475,0.014457397,0.006451349,0.000640031,0.003937204,0.009097405,0,0,0.00879184,0.009119611,0.153846154,0.167994126,-0.014147972,0.148864889,0.004981265,0.011565263,-0.097829743,1,Pavilion_Picnic_Area
Broward_Saw Palmetto Natural Area,0.059349343,0.069224377,0.046736356,4.62E-05,0.007660106,0,0.0549716,0.054231971,0.003761192,0.03360573,0.000948048,0.005184875,0.104401664,0.005183862,0.006072426,0.00766671,0.014258972,0.6,0.382169773,0.217830227,0.541755608,0.058244392,0.013036409,0.484734951,1,Athletic_facility
Broward_Secret Woods Park,0.059351943,0.090323866,0.001975462,0.044820783,0.040839414,0,0.015450213,0.087370942,0.001892033,0.012362546,0.006265094,0.003382404,0.00207373,0.026930539,0.00022164,0.000627969,0.031272179,0.521008403,0.275864876,0.245143527,0.49400114,0.027007263,0.017120991,0.50249272,1,tree
Broward_Sewell Lock,0.016980976,0.016265698,0.017735331,0.003567918,0.013625915,0,0.016746096,0.034292887,0.020216947,0.005513884,0.001036523,0.002799326,0.003554764,0,0,0.011205604,0.008247419,0.074074074,0.034616058,0.039458016,0.064969316,0.009104758,0.014833446,0.151185562,1,mean_ndwi
Broward_Snake Warriors Island,0.276669815,0.182652549,0.059233182,0.020258966,0.01855395,0,0.346162859,0.077993382,0.010506018,0.052319556,0.025884693,0.023187781,0.004061806,0.018237431,0.000717064,0.003896286,0.142242267,0.417218543,0.151669059,0.265549484,0.360202933,0.05701561,0.09612734,-0.255738683,1,mean_ndvi
