UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Pembroke Pines_Ashley Hale Park,3.99E-08,2.99E-08,7.98E-08,3.99E-08,3.99E-08,0,3.46E-08,0,0,0,3.99E-08,0,0,0,0,0,0,0,0,0,0,0,1.43E-07,-0.006159361,1,grassland
Pembroke Pines_Ben Fiorendino Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_Chapel Trail Nature Preserve,1.01E-05,6.78E-06,9.55E-09,1.91E-05,1.27E-05,0,9.75E-06,7.75E-07,0,8.69E-07,1.31E-05,1.00E-06,2.65E-07,6.47E-06,0,0,1.67E-05,0.006329114,0.003177527,0.003151587,0.006211074,0.00011804,2.41E-06,0.580995164,1,water
Pembroke Pines_Chapel Trail Park,5.66E-06,1.41E-05,6.69E-07,6.76E-06,1.29E-05,0,9.88E-06,8.62E-07,0,7.92E-07,1.26E-05,7.55E-07,3.40E-07,7.34E-06,0,0,6.78E-06,0,0,0,0,0,4.38E-06,0.238203899,1,tree
Pembroke Pines_Cinnamon Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_Craig Rupp K-9 Dog Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_Flamingo Park,8.62E-07,6.26E-07,5.17E-07,5.54E-07,6.26E-07,0,6.87E-07,3.17E-08,2.33E-09,0,1.44E-07,2.12E-08,0,0,0,3.46E-07,3.81E-08,0,5.85E-05,-5.85E-05,1.46E-06,-1.46E-06,1.54E-07,-0.08425634,1,area
Pembroke Pines_Fletcher Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_Jack McCluskey Rainbow Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_Memorial Park,1.18E-07,2.99E-08,1.10E-07,8.83E-08,9.83E-08,0,1.95E-08,0,4.75E-10,0,7.59E-08,3.21E-08,0,0,0,0,7.66E-09,0,0.000182749,-0.000182749,7.31E-06,-7.31E-06,1.47E-07,-0.034119934,1,area
