UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Pompano Beach_Annie Adderly Gillis Park,0.000913788,0.001373377,0.000586621,6.35E-07,0.000193129,0,0.000598715,0.000580235,0.000134624,0.000133101,0,0.000568057,8.25E-05,0.000103205,1.99E-05,0.000128427,0.002238706,0,0.001361354,-0.001361354,0.000649921,-0.000649921,0.001626725,-0.160492841,1,Biodiversity
Pompano Beach_Bill Keith Park,0.000830773,0.002109973,0.000559747,1.57E-06,0.000140783,0,0.000858454,0.00106087,0.000156034,0.000128128,0,0.000619091,0.000165148,0,2.63E-05,3.58E-05,0.002843556,0,0.011002567,-0.011002567,0.003274207,-0.003274207,0.001735998,-0.218123109,1,Biodiversity
Pompano Beach_Canine Corner Dog Park,0.000692845,0.001739536,0.000538176,1.18E-05,0.000128783,0,0.000817689,0.000905435,0.000270859,0.000275979,0,0.001055574,0.001454052,0,2.55E-05,3.88E-06,0.002913438,0.014084507,0.01745089,-0.003366383,0.0144287,-0.000344193,0.001562027,-0.114337907,1,Biodiversity
Pompano Beach_Exchange Club Park,0.001235174,0.001505845,0.000444243,1.77E-05,8.47E-05,0,0.000317322,0.000216311,7.49E-05,8.21E-05,0,0.000149459,2.48E-05,0.000628327,2.11E-05,1.52E-05,0.001044764,0.038461538,0.015154939,0.023306599,0.036575757,0.001885781,0.001233074,0.207437171,1,tree
Pompano Beach_Founders Park,0.001010026,0.001826317,0.000616586,1.17E-06,8.53E-05,0,0.000832529,0.000974917,0.000249521,8.37E-05,0,0.001114213,0.000346011,0,3.08E-05,4.76E-05,0.003655757,0,0.052047619,-0.052047619,0.00882013,-0.00882013,0.001879953,-0.319134696,1,Biodiversity
Pompano Beach_Harbor's Edge Park,0.000739704,0.001329204,0.000787258,1.61E-05,0.000166398,0,0.000651195,0.000734026,0.000514298,0.000130742,0,0.000611961,0.001697783,0.000122664,3.06E-05,7.96E-07,0.002587723,0.008403361,0.035481713,-0.027078352,0.018969579,-0.010566218,0.001705824,-0.029511699,1,Biodiversity
Pompano Beach_Highlands Park,0.001976956,0.000906625,0.00143533,0,7.01E-05,0,8.84E-05,4.18E-05,3.51E-06,0.000388424,0,7.92E-06,3.53E-05,0.000409218,5.67E-06,6.20E-06,0.001335968,0,0,0,0,0,0.000680667,-0.350272838,1,area
Pompano Beach_Hillsboro Inlet Park,0.000503476,0.000632679,0.000494885,1.81E-05,3.11E-05,0,0.000431579,0.000192832,9.87E-05,6.29E-05,0,2.94E-05,1.91E-05,9.52E-05,8.69E-06,6.13E-07,0.000663779,0,0.000933707,-0.000933707,6.44E-05,-6.44E-05,0.001427762,0.082300643,1,Biodiversity
Pompano Beach_Hunters Manor Park,0.000533003,0.000613279,0.000407513,0,0.00030365,0,3.89E-05,0.000123527,4.42E-05,1.04E-05,2.06E-05,2.81E-05,7.12E-06,2.30E-05,1.88E-05,7.34E-05,6.86E-05,0,0.009672619,-0.009672619,0.000389881,-0.000389881,0.000820216,-0.033545756,1,tree
Pompano Beach_Indian Mound Park,0.00178992,0.003602931,0.001000157,7.14E-05,0.000181543,0,0.002353396,0.002369204,0.001398021,0.000267534,3.61E-06,0.000732336,0.000313175,0,5.76E-05,1.56E-05,0.00554551,0.071428571,0.005130916,0.066297655,0.05874225,0.012686321,0.001387924,-0.466447217,1,Biodiversity
Pompano Beach_McNab Park,0.000999131,0.001995091,0.000961238,2.50E-05,8.22E-05,0,0.001276221,0.001028961,0.000218907,0.000287671,0,0.001369503,0.000590201,0,1.85E-05,2.46E-05,0.006428803,0.1,0.021684052,0.078315948,0.075359818,0.024640182,0.001457888,-0.530675315,1,Biodiversity
Pompano Beach_McNair Park & Recreation Center,0.000695723,0.000642134,0.000406561,3.19E-05,0.0001261,0,0.000136801,9.84E-05,1.06E-05,2.58E-08,6.01E-06,5.57E-05,4.60E-06,1.88E-05,9.19E-05,0.000126756,0.000254173,0,0.004464286,-0.004464286,0.000125,-0.000125,0.000188568,0.331764329,1,area
Pompano Beach_Mitchell Moore Park-Westside Park,0.001724842,0.001608469,0.000743581,0,0.000314855,0,0.000822133,0.000263892,0.000104505,3.78E-05,0,0.000176021,0.000103997,0.000592823,1.80E-05,0.000163259,0.001747068,0.035714286,0.018529568,0.017184718,0.032901893,0.002812393,0.00136782,-0.077032598,1,Biodiversity
Pompano Beach_North Ocean Park,0.000756549,0.00126165,0.000391021,8.60E-06,8.33E-05,0,0.000615783,0.000560619,0.000590567,3.35E-05,0,0.000364909,0.000559893,0,9.99E-06,1.66E-05,0.001605787,0,0.009553475,-0.009553475,0.002268909,-0.002268909,0.001746718,-0.05419268,1,Biodiversity
