UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Fort Lauderdale_Osswald Park,0.012346328,0.009254092,0.01421673,0.005713735,0.007667058,0,0.003193968,0.01312405,7.86E-05,0.000780577,0.006147586,0.003291979,0.001159095,0.000346922,0,0.000704432,0.004825163,0.064102564,0.007982124,0.05612044,0.058554525,0.005548039,0.00825757,-0.258733397,1,grassland,,,,
Fort Lauderdale_Palm Aire Village Park,0.001972953,0.003234266,0.001406374,6.79E-05,0.000343464,0,0.001422845,0.00118992,0.000101803,0.000304325,0.001251992,0.000267496,0.001999421,0.000255109,5.65E-08,0,0.001788029,0,0.06779661,-0.06779661,0.000906145,-0.000906145,0.004172982,-0.393551735,5,tree,,,,
Fort Lauderdale_Peter Feldman Park,0.005733121,0.006065489,0.00127101,9.27E-05,0.000172904,0,0.005634076,0.003825839,6.99E-05,0.00755533,0.002544794,0.000693793,0.001277793,0,0.00010445,0.0002779,0.002978145,0,0.095918524,-0.095918524,0.009755725,-0.009755725,0.003696344,-0.095869166,1,Kids_Playground,,,,
Fort Lauderdale_Riverland Park,0.015526704,0.010188191,0.003704534,0.001233959,0.001414469,0,0.010450858,0.012327955,0.000823722,0.001009022,0.008010747,0.004648644,0.002284698,0.002124593,0,0.002934292,0.021867248,0.018867925,0.082437932,-0.063570007,0.027175631,-0.008307706,0.01347813,-0.401524691,1,Biodiversity,,,,
Fort Lauderdale_Riverland Preserve,0.03001276,0.011210385,0.00168096,0.001244418,0.001202826,0,0.009388476,0.008572721,0.001447567,0.003124912,0.020151194,0.002080876,0.004995365,0.004043611,0.000118365,0.000653114,0.010982678,0.142857143,0.064415645,0.078441498,0.125910576,0.016946567,0.009685199,-0.287387621,1,area,,,,
Fort Lauderdale_Riverland Woods Park,0.010064117,0.004072427,0.008041675,0.000474009,0.000222162,0,0.020596298,0.011575364,0.001602442,0.000404014,0.003250593,0.002325281,0.00407822,0.001540485,0.000345769,0.002372112,0.008177957,0.066666667,0.08076564,-0.014098973,0.066892515,-0.000225848,0.008075961,-0.052494077,1,mean_ndvi,,,,
Fort Lauderdale_Sailboat Bend Preserve,0.00383712,0.006961584,0.004191156,0.001557177,0.007879205,0,0.013766253,0.01165441,0.001754663,0.00027194,0.005377176,0.002491946,3.39E-05,0.000335435,0,0.000504069,0.015020407,0,0.086693549,-0.086693549,0.006070178,-0.006070178,0.006054984,-0.487934172,1,Biodiversity,,,,
Fort Lauderdale_Smoker Park,0.005573992,0.002535942,0.000615307,0.000476982,0.001038262,0,0.001434461,0.003009888,3.74E-05,0.002624562,0.000611288,0.001237468,0.000753214,0,2.84E-05,7.18E-08,0.003504831,0.071428571,0.106447737,-0.035019166,0.077323896,-0.005895325,0.003098175,0.005072767,1,area,,,,
Fort Lauderdale_Snyder Park,0.004032144,0.006755732,0.002339118,0.001012561,0.000500619,0,0.008696891,0.003698706,5.14E-05,0.002016459,0.000945345,0.00076101,0.001863923,0.001838494,0,0.001185025,0.004268304,0.058350101,0.016025641,0.04232446,0.055768517,0.002581584,0.004035607,-0.047994694,1,mean_ndvi,,,,
Fort Lauderdale_South Intracoastal Park,0.240274138,0.058185372,0.191986587,0.000594737,0.001457281,0,0.133729846,0.143617116,0.024804708,0.024241812,0.005414707,0.100153797,0.012019456,0,0,0.000128061,0.101218029,0.034482759,0.292252981,-0.257770222,0.098906048,-0.064423289,0.086768469,-0.554079891,1,area,,,,
Fort Lauderdale_South Middle River Park,0.006249873,0.007292676,0.006239019,0.001741232,0.0067824,0,0.008414438,0.005846032,0,0.000838877,0.009717314,0.00285529,0.000692619,0,1.25E-06,0.004358142,0.003956957,0,0.082489705,-0.082489705,0.011195348,-0.011195348,0.006717576,-0.148400899,1,Body_of_water,,,,
Fort Lauderdale_Stranahan Park,0.005992814,0.003123632,0.00078453,0.000623153,0.000952965,0,0.003256753,0.005239334,1.04E-05,0.004344616,0.000900562,0.001213767,0.000393242,2.88E-05,0,0,0.004409688,0.142857143,0.072330797,0.070526346,0.138721077,0.004136066,0.005435283,-0.283450849,1,area,,,,
Fort Lauderdale_Sunset School Park,0.014399202,0.00476625,0.006379298,5.18E-05,4.49E-05,0,0.02470558,0.017499933,0.000317951,0.000557644,0.005522782,0.004575672,0.005746328,0.000906382,0.000459923,0.002960806,0.009887832,0,0.069797561,-0.069797561,0.005226398,-0.005226398,0.010436653,-0.137509577,1,mean_ndvi,,,,
Fort Lauderdale_SW 5th Ct and SW 12th Ave Park,0.004489394,0.003969725,0.005711852,0.001097126,0.006694777,0,0.010560508,0.012389718,0.002736649,0.000599685,0.003164776,0.004132822,0.000134425,0.001414803,0,0.000222367,0.017617892,0.166666667,0.022891161,0.143775506,0.154041984,0.012624683,0.007612197,-0.460185445,1,Biodiversity,,,,
Fort Lauderdale_Townsend Park,0.003887174,0.005823866,0.005492033,0.000748501,0.004370531,0,0.014181551,0.009860498,0.001022097,0.000449583,0.005528823,0.002447662,8.41E-05,0.000928501,0,0.000637202,0.017088043,0,0.122646961,-0.122646961,0.009590776,-0.009590776,0.006064856,-0.490360191,1,Biodiversity,,,,
Fort Lauderdale_Twin Lakes North Park,0.004658123,0.003581724,0.006963272,0.001020484,0.003687485,0,0.003522365,0.004890884,0.000299314,0.002211557,0.003381672,0.006515172,0.000169892,0,0,1.62E-06,0.002630275,0,0.119087826,-0.119087826,0.013872409,-0.013872409,0.007892205,-0.167590713,1,grassland,,,,
Fort Lauderdale_Victoria Park,0.177687902,0.207957576,0.09088964,0.001411806,0.000133838,0,0.029981218,0.04298956,0.001504444,0.00186894,0.005817363,0.014134026,0.00012568,0,9.43E-05,0.000597615,0.14223235,0.1,0.161754905,-0.061754905,0.111959869,-0.011959869,0.09779588,-0.734745309,1,tree,,,,
Fort Lauderdale_Vista Park,0.005510266,0.001357954,0.000270205,0.000110167,0.000238704,0,0.003493232,0.002091178,0.000428623,0.000872269,0.003979231,0.000294443,0.00014253,0,5.63E-05,0.000145862,0.003498778,0.075,0.058716885,0.016283115,0.06974819,0.00525181,0.002028222,-0.153114227,1,area,,,,
Fort Lauderdale_Warfield Park,0.002984867,0.004666021,0.001336213,0,0.000177293,0,0.006340617,0.003771896,0,0.001166187,0.000491735,0.000744812,0.000132668,0,0.000220527,0.000248422,0.003097986,0,0.101419871,-0.101419871,0.00596803,-0.00596803,0.002860748,-0.053951705,1,mean_ndvi,,,,
Fort Lauderdale_Willingham Park,0.004235765,0.001150099,0.000406218,5.28E-05,0.000363287,0,0.003248191,0.003283044,0.000623761,0.000599586,0.004256369,0.000222125,0.000109357,0,7.08E-05,0.000147643,0.003722317,0,0.069765244,-0.069765244,0.01258625,-0.01258625,0.002046423,-0.163462561,1,Body_of_water,,,,
Hallandale Beach_B.F. James Park and Pool,0.020942771,0.006115401,0.006073845,0.000348866,0.000506372,0,0.004740189,0.005983428,0.017239539,0.022432898,0.000105028,0.003834005,0.003062547,0,0.000706279,0.001587166,0.005486545,0,0.09036972,-0.09036972,0.025236744,-0.025236744,0.008299802,-0.214280696,1,Kids_Playground,,,,
Hallandale Beach_Curci House-Historical Village,0.033966465,0.005487293,0.006504213,0.00010797,0.000932569,0,0.007484388,0.006745579,0.021383771,0.021142456,4.52E-05,0.01168701,0.003292833,0,0.000710638,0.001007992,0.008391916,0.333333333,0.074613421,0.258719912,0.295088743,0.03824459,0.008975511,-0.26410225,1,area,,,,
Hallandale Beach_Foster Park & Plaza,0.017106375,0.007802166,0.004014529,0.000561421,0.000380417,0,0.00603319,0.005939511,0.019124891,0.02207571,9.51E-05,0.008483955,0.005087015,0,0.000724334,0.002048924,0.007921649,0.142857143,0.079199843,0.0636573,0.12487126,0.017985883,0.010792701,-0.477156032,1,Kids_Playground,,,,
Hallandale Beach_Ingalls Park,0.032287598,0.003865734,0.005121409,0,0.000338811,0,0.009415669,0.005139293,0.021902897,0.019492623,0,0.014813879,0.003243871,0,0.000806891,0.001533472,0.008442125,0.112903226,0.120481026,-0.0075778,0.113025067,-0.000121841,0.011208904,-0.442508493,1,area,,,,
