UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Coral Springs_Village Green Park,0.152490969,0.165232,0.119741744,0,0.123828298,0,0.070334838,0.069970404,0.011752433,0.008159417,0.00689115,0.046065412,0.006840311,0.008873159,0,0.000622622,0.154150948,1,0.381802721,0.618197279,0.883415426,0.116584574,0.088120193,-0.219575843,1,tree,,,,
Coral Springs_Westchester Park,0.290671316,0.084879561,0.201639986,0.00613447,0.126066019,0,0.073241986,0.047825652,0.001793725,0.020619378,0.013853509,0.139097612,0.03005693,0,0.000643369,0.004723588,0.091968265,0.2,0.262557944,-0.062557944,0.207803385,-0.007803385,0.057271393,0.379645033,1,area,,,,
Coral Springs_Windings Park,0.193985681,0.06964547,0.125276039,0.003218153,0.102932499,0,0.063787597,0.077524666,0.011460287,0.021357358,0.016408023,0.172338371,0.030369767,0,0.008352416,0.013626372,0.104632906,0.75,0.4,0.35,0.752381447,-0.002381447,0.093533912,0.156176211,1,area,,,,
Dania Beach_Chester Byrd Park,0.035951574,0.140203402,0.049050025,0.00662879,0.010606282,0.000523564,0.060787535,0.087825904,0.003704617,0.104036745,0.000616094,0.023207618,0.156926819,0.002440977,0,0.014446851,0.02921235,0.571428571,0.329478745,0.241949826,0.529205707,0.042222864,0.024518708,0.454291364,1,Athletic_facility,,,,
Dania Beach_CW Thomas Park,0.08813748,0.169127438,0.109659901,0.00735657,0.031876208,0.000377792,0.02863522,0.073411049,0.002773088,0.025981273,0.005075706,0.02211844,0.095489202,0.000994481,0,0.057790873,0.04657364,0.285714286,0.267493655,0.018220631,0.30478596,-0.019071674,0.070542975,-0.106713164,1,tree,,,,
Dania Beach_Dania Beach Marina,0.044683895,0.005981907,0.037269455,0.029697268,0.006763179,0.002826626,0.036540822,0.016469457,0.011622066,0.003080444,0.007159413,0.000993475,0.00252269,6.42E-05,0,0.007935974,0.009070536,0,0.162337662,-0.162337662,0.026920141,-0.026920141,0.023719762,0.181457612,1,area,,,,
Dania Beach_Dania Cove Park,0.090482326,0.123642703,0.11930255,0.004112097,0.146407829,0,0.059522911,0.118878947,0.009189502,0.004135246,0.024496225,0.014128316,0.003905636,0.024486449,0.000811201,0.004596757,0.064657511,0.75,0.30492629,0.44507371,0.738781687,0.011218313,0.089500568,0.051969424,1,herbaceous_wetland,,,,
Dania Beach_Frank C. Tootie Adler Park,0.044814148,0.007925978,0.040496169,0.024949644,0.011337212,0.003086366,0.02343841,0.014255425,0.010006567,0.002894533,0.004894215,0.004309323,0.004677413,0.000177311,0,0.00777929,0.009415009,0.228070175,0.245733074,-0.017662899,0.234181654,-0.006111479,0.031891335,-0.00181227,1,area,,,,
Dania Beach_Frost Park,0.070847339,0.053699776,0.02986947,0.015855858,0.011400794,0.000560331,0.030212426,0.043606785,0.001714031,0.034121911,0.00808359,0.007790338,0.059625385,0.000768215,0,0.032551617,0.058296505,0.458823529,0.373736532,0.085086997,0.447257284,0.011566245,0.0346511,0.351818984,1,area,,,,
Dania Beach_Griffin Marine Park,0.045011407,0.061919551,0.091569702,0.012859735,0.091909849,0,0.053981312,0.136809583,0.010020497,0.001033954,0.009848339,0.035392588,0.001245581,0.060504676,0.001168104,0.005546775,0.078341682,0.5,0.562474227,-0.062474227,0.485723145,0.014276855,0.110609826,-0.410637481,1,mean_ndwi,,,,
Dania Beach_I.T. Parker Center,0.060845561,0.010071038,0.043021603,0.016799016,0.006534145,0.000735932,0.026889536,0.024961904,0.004080434,0.008792176,0.009312451,0.00378,0.006714806,9.89E-05,0,0.01304867,0.023102214,0.285714286,0.137959093,0.147755193,0.258149037,0.027565249,0.0324158,0.331967661,1,area,,,,
Dania Beach_Linear Park,0.038756737,0.054250137,0.023705055,0.009482849,0.013057088,0.006253575,0.098635626,0.076267211,0.010215658,0.111710677,0.0144269,0.001745348,0.105425674,0.0021531,0,0.00557689,0.022810347,0,0.571428571,-0.571428571,0.013676165,-0.013676165,0.041803713,-0.112390749,1,Kids_Playground,,,,
