UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Broward_Long Key Natural Area and Nature Center,0.480500334,0.362668119,0.708080078,0.007400049,0.337963301,0,0.212035987,0.202256196,0.014424246,0.241677959,0.034989385,0.049330669,0.042656753,0.060778977,0.011655082,0.004202133,0.164142508,1.693957642,1.385985803,0.307971839,1.636870686,0.057086956,0.135549951,0.322203282,1,grassland
Broward_Markham Park,0.100549123,0.297462599,0.086343498,0.047891384,0.064792122,0,0.173881244,0.099475694,0.201239152,0.06462907,0.024750154,0.043513841,0.093309449,0,0.00717111,0.021680818,0.453726789,1.117527603,1.06472849,0.052799113,1.117657877,-0.000130274,0.12625206,0.123529077,1,Biodiversity
Broward_Military Trail Nature Area,0.692740962,0.609301974,0.704299514,0,0.119131194,0,0.446662193,0.75825347,0.037573698,0.050646605,0,0.052643199,0.039828164,0.066683289,0.022171454,0.0178245,0.951660864,-2.22E-16,0.9656427,-0.9656427,0.046569025,-0.046569025,0.376205422,-0.190417459,1,Biodiversity
Broward_Miramar Pineland Natural Area,0.392485735,0.277941872,0.275159549,0.014308431,0.106835779,0,0.36807107,0.231281689,0.363843488,0.003239776,0.053905885,0.017923001,0.043207919,0,0,0.0232791,0.138702173,1.233284358,0.95345422,0.279830138,1.175385449,0.057898909,0.113807161,0.187225934,1,area
Broward_Pine Island Ridge Natural Area,0.292254204,0.520855521,0.208847556,0.089797851,0.163891485,0,0.068088468,0.181564409,0.002936866,0.009013023,0.103976369,0.011868316,0.023742551,0.016802393,0.005121785,0.007715436,0.276786249,1.493441852,0.953948969,0.539492883,1.41714136,0.076300492,0.100700522,0.24248681,1,tree
Broward_Plantation Heritage Park,0.184763706,0.276685133,0.461643948,0.299202025,0.28717839,0,0.234552376,0.18521976,0.386336808,0.011003177,0.066279217,0.112254586,0.023937115,0,0,0.197719221,0.400837887,1.23597797,1.067259341,0.168718629,1.212577092,0.023400878,0.326806694,-0.370172985,1,grassland
Broward_Quiet Waters Park,0.261757176,0.304141611,0.124408621,0.002359344,0.063058151,0,0.230816382,0.17814611,0,0.074874965,0.061333824,0.034989959,0.127664074,0.019554079,0.061844168,0.017981046,0.322626194,1.242882425,0.882875959,0.360006466,1.178564604,0.064317821,0.282206946,-0.147644328,1,Biodiversity
Broward_Reverend Samuel Delevoe Memorial Park,0.126426519,0.229361815,0.103519625,0.033688218,0.025882868,0,0.123841542,0.11183675,0.009775656,0.010783859,0.02162987,0.010659348,0.018584947,0.016437774,0,0.027019639,0.127256907,1.322301998,1.100969961,0.221332037,1.276080344,0.046221654,0.059010654,0.02534951,1,tree
Broward_Roosevelt Gardens Park,0.120403128,0.050286198,0.103916268,0.019259451,0.029641799,0,0.067923349,0.062699648,0.01086908,0.006186729,0.025214968,0.05281092,0.015560692,0,0,0.041303241,0.056289172,0.988802772,0.883414331,0.105388441,0.975327908,0.013474864,0.065179393,-0.032765984,1,area
Broward_Saw Palmetto Natural Area,0.011540795,0.037387071,0.082930982,0.000920188,0.007800178,0,0.033922602,0.095123466,0.004989257,0.088674581,0.000217289,0.010316669,0.031862873,0.008586172,3.74E-05,0.005059646,0.025018713,1.303766276,1.328190532,-0.024424256,1.310272906,-0.00650663,0.029985511,0.085878467,1,mean_ndwi
Broward_Secret Woods Park,0.18513904,0.292979497,0.026022285,0.305012534,0.31628791,0,0.101904786,0.328584336,0.024338509,0.032571616,0.001654931,0.147278736,0.077625161,0.054257608,0.002097531,0.019504172,0.274038864,1.481507713,1.372824267,0.108683446,1.470932948,0.010574765,0.159245808,0.237864612,1,mean_ndwi
Broward_Sewell Lock,0.265856839,0.11363209,0.184828551,0.167448323,0.229389635,0,0.11859832,0.230069963,0.275536139,0.004759389,0.123078428,0.189472686,0.134960983,0,3.37E-05,0.019868317,0.145967636,1.34021646,0.662406624,0.677809837,1.232102647,0.108113813,0.299618273,-0.462223823,1,Pavilion_Picnic_Area
Broward_Snake Warriors Island,0.51030866,0.220587343,0.106462304,0.047785781,0.051898408,0,0.544711182,0.076550754,0.080369525,0.023094492,0.040515055,0.126538543,0.015990171,0.08142128,0.002066287,0.001086246,0.169185072,1.404019965,0.784106922,0.619913043,1.312009671,0.092010294,0.210861431,-0.516586036,1,mean_ndvi
Broward_South Fork Canoe Launch,0.400021735,0.356978146,0.173603995,0.197959457,0.237564301,0,0.318498565,0.65123971,0.362115345,0.026190751,0.091965914,0.041002644,0.070923266,0.00774906,0.023659406,0.030880284,0.512853466,-4.44E-16,0.971144552,-0.971144552,0.180209063,-0.180209063,0.263923705,-0.240260364,1,mean_ndwi
