UGS,Aesthetic value(%),Bequest value(%),Educational value(%),Entertainment value(%),Existence value(%),Experiential use(%),Heritage value(%),Physical use(%),Scientific value(%),Symbolic value(%)
Lauderhill_West Ken Lark Park,0.222222222,0,0,0.222222222,0,0,0,0.666666667,0,0
Lauderhill_Westwind Park,0.169811321,0,0,0.264150943,0,0.018867925,0,0.79245283,0,0
Lauderhill_Wolk Park,0.333333333,0,0,0.166666667,0,0,0,0.5,0,0
Lighthouse Point_Dan Witt Park,0.194444444,0,0,0.583333333,0,0,0,0.555555556,0,0
Lighthouse Point_De Groff Park,0.322580645,0,0,0.483870968,0,0.096774194,0,0.387096774,0,0
Lighthouse Point_Frank McDonough Park,0.043478261,0,0,0.695652174,0,0.043478261,0,0.652173913,0,0
Margate_Centennial Park,0,0,0,1,0,0.5,0,0.5,0,0
Margate_Coral Gate Park,0.044444444,0,0,0.533333333,0,0,0,0.688888889,0,0.022222222
Margate_David Park,0,0,0,0.928571429,0,0.071428571,0,0.071428571,0,0
Margate_Firefighters Park,0.108597285,0,0,0.533936652,0,0.027149321,0,0.683257919,0,0
Margate_Kaye Stevens Park,0.642857143,0,0,0.142857143,0,0.214285714,0,0.214285714,0,0
Margate_Margate Sports Complex,0.222222222,0,0,0.592592593,0,0.037037037,0,0.37037037,0,0
Margate_Serino Park,0.235294118,0,0,0.352941176,0,0.058823529,0,0.588235294,0,0
Margate_Southeast Park,0.136363636,0,0,0.409090909,0,0,0,0.727272727,0,0
Margate_Southgate Park,0.0625,0,0,0.625,0,0,0,0.625,0,0
Margate_Veterans Memorial Park,0.136363636,0.045454545,0.090909091,0.318181818,0,0.090909091,0,0.590909091,0,0
Margate_Vinson Park,0.2,0,0,0.8,0,0,0,0.6,0,0
Margate_Winfield Park,0.222222222,0,0,0.444444444,0,0.148148148,0,0.666666667,0,0
Miramar_19th Street Park,0.5,0,0,0.5,0,0.5,0,0.5,0,0
Miramar_Ansin Sports Complex,0.03125,0,0,0.53125,0,0.09375,0,0.625,0,0
Miramar_Beauty Park,1,0,0,0,0,0,0,0,0,0
Miramar_Beekman Park,0.5,0,0,0.25,0,0,0,0.75,0,0
Miramar_Bernard Park,0,0,0,1,0,0,0,0,0,0
Miramar_Civic Center Park,0,0,0,0.5,0,0.5,0,0.5,0,0
Miramar_Fairway Park,0,0,0,0.272727273,0,0.090909091,0,0.909090909,0,0
Miramar_Flamingo Estates Park,0.285714286,0,0,0.428571429,0,0,0,0.571428571,0,0
Miramar_Forzano Field,0.033333333,0,0,0.166666667,0,0.033333333,0,0.8,0,0
Miramar_Historic Miramar Aquatic Complex,0.078947368,0,0.078947368,0.421052632,0,0.026315789,0,0.552631579,0,0
Miramar_Lakeshore Park,0.083333333,0,0.041666667,0.291666667,0,0,0,0.791666667,0,0
Miramar_Miramar Regional Park,0.167381974,0,0.004291845,0.519313305,0.004291845,0.042918455,0,0.510729614,0,0
Miramar_Monarch Lakes Park,0.25,0,0,0.3125,0,0,0,0.6875,0,0
Miramar_Perry Park-Wellman Field,0,0,0,0.333333333,0,0,0,0.666666667,0,0
Miramar_River Run Park,0.180851064,0,0,0.319148936,0,0.042553191,0,0.755319149,0,0
Miramar_Sawyer Park,0.25,0,0,0.875,0,0.125,0,0.125,0,0
Miramar_Sheraton Park,0,0,0,0,0,0,0,1,0,0
Miramar_Shirley Branca Park,0.2,0,0,0.6,0,0,0,0.6,0,0
Miramar_Silver Lakes Tennis Complex,0.111111111,0,0.111111111,0.222222222,0,0,0,1,0,0
Miramar_Silver Shores Park,0.09375,0,0,0.375,0,0,0,0.84375,0,0
Miramar_Veteran's Memorial Park,0,0,0,0.5,0,0,0,0.5,0,0
Miramar_Vizcaya Park,0.151515152,0,0,0.484848485,0,0.060606061,0,0.53030303,0,0
North Lauderdale_Bicentennial Park,0.666666667,0,0,0,0,0,0,0.333333333,0,0
North Lauderdale_Broadview Community Park,0,0,0,0.75,0,0,0,0.75,0,0
North Lauderdale_Hampton Pines Park,0.235087719,0.003508772,0,0.357894737,0.007017544,0.10877193,0,0.698245614,0.003508772,0
North Lauderdale_TOT Park,0.5,0,0,0.166666667,0,0,0,0.5,0,0
Oakland Park_Cherry Creek Park,0.666666667,0,0,0.333333333,0,0,0,0.75,0,0
Oakland Park_Dr. Carter G. Woodson Park,0,0,0,0,0,0,0,1,0,0
Oakland Park_Jaco Pastorius Park,0.15,0.05,0,0.35,0.05,0.2,0,0.5,0,0
Oakland Park_Lakeside Sand Pine Preserve,0.555555556,0.111111111,0.111111111,0.222222222,0,0,0,0.666666667,0,0
Oakland Park_Stunson Nature Trail,0.25,0,0.083333333,0.166666667,0,0,0,0.75,0,0
Oakland Park_Veterans Park,0.457627119,0,0.016949153,0.338983051,0,0.06779661,0.016949153,0.491525424,0,0
Oakland Park_Wimberly Fields Park,0.260869565,0,0,0.47826087,0,0.086956522,0,0.565217391,0,0
Parkland_Barkland Dog Park,0.177570093,0,0.018691589,0.869158879,0,0.074766355,0,0.140186916,0,0
Parkland_Covered Bridge Park,0.375,0,0,0.25,0,0.125,0,0.6875,0,0
Parkland_Doris Davis Forman Wilderness Preserve,0.3,0,0,0.2,0,0.1,0.1,0.6,0,0
Parkland_Equestrian Center at Temple Park,0.111111111,0,0,0.444444444,0,0.222222222,0,0.333333333,0,0
Parkland_John H. Quigley Park - Parkland Tennis Center,0.142857143,0,0.142857143,0.285714286,0,0,0,0.571428571,0,0
Parkland_Liberty Park,0.131147541,0,0.008196721,0.852459016,0.008196721,0.032786885,0,0.131147541,0,0
Parkland_Pine Trails Park,0.150537634,0.010752688,0,0.602150538,0.010752688,0.032258065,0,0.440860215,0,0
Parkland_Six Acre Woods Park,0.25,0,0,0.25,0,0.166666667,0,0.75,0,0
Parkland_Terramar Park,0.177966102,0,0,0.423728814,0,0.059322034,0.008474576,0.711864407,0,0
Pembroke Park_Raymond P. Olgesby Preserve-Pembroke Park Preserve,0.163636364,0,0,0.218181818,0,0.018181818,0,0.854545455,0,0
Pembroke Pines_Ashley Hale Park,0.428571429,0,0,0.285714286,0,0.142857143,0,0.285714286,0,0
Pembroke Pines_Ben Fiorendino Park,0.526315789,0,0,0.210526316,0,0.131578947,0.026315789,0.342105263,0,0
Pembroke Pines_Chapel Trail Nature Preserve,0.556962025,0.006329114,0.037974684,0.120253165,0.012658228,0.056962025,0,0.64556962,0.006329114,0.012658228
Pembroke Pines_Chapel Trail Park,0.105263158,0,0,0.105263158,0,0,0,0.894736842,0,0
Pembroke Pines_Cinnamon Place,0.19047619,0,0,0.380952381,0,0.047619048,0,0.666666667,0,0
Pembroke Pines_Craig Rupp K-9 Dog Park,0.121212121,0.007575758,0,0.78030303,0,0.090909091,0,0.121212121,0,0.007575758
Pembroke Pines_Flamingo Park,0.25,0.083333333,0,0.333333333,0,0.083333333,0,0.333333333,0,0
Pembroke Pines_Fletcher Park,0,0,0,0.833333333,0,0.166666667,0,0.333333333,0,0
Pembroke Pines_Jack McCluskey Rainbow Park,0.083333333,0,0,0.25,0,0,0,0.75,0,0
Pembroke Pines_Memorial Park,0.142857143,0,0,1,0,0,0,0.285714286,0,0
Pembroke Pines_Pasadena Park,0.25,0,0,0.75,0,0,0,0,0,0
Pembroke Pines_Paul J. Maxwell Park,0.125,0,0,0.5,0,0.041666667,0,0.75,0,0
Pembroke Pines_Pembroke Lakes Golf and Tennis Center,0.240740741,0.018518519,0,0.703703704,0,0.018518519,0,0.111111111,0,0
Pembroke Pines_Pines Recreation Center,0,0,0,0.25,0,0.25,0,0.5,0,0
Pembroke Pines_Rose G. Price Park,0.0625,0,0.03125,0.34375,0,0.03125,0,0.71875,0,0
Pembroke Pines_Silver Lakes Park South,0.1,0,0,0.5,0,0,0,0.7,0,0
Pembroke Pines_Spring Valley Park,0.25,0,0,1,0,0,0,0.75,0,0
Pembroke Pines_Steven L. Josias Dog and Equestrian Park,0.2,0,0,0.714285714,0.028571429,0.085714286,0,0.142857143,0,0
Pembroke Pines_Tanglewood Park,0.307692308,0.076923077,0,0.538461538,0.076923077,0.076923077,0,0.846153846,0,0
Pembroke Pines_Towngate Park,0,0,0,0.333333333,0,0,0,0.777777778,0,0
Pembroke Pines_Walnut Creek Park,0,0,0,0.375,0,0,0,0.625,0,0
Pembroke Pines_West Pines Soccer Park and Preserve,0.125,0,0,0.125,0,0.083333333,0,0.791666667,0,0
Pembroke Pines_William B. Armstrong Dream Park,0.352941176,0,0,0.294117647,0,0,0,0.647058824,0,0
Plantation_Country Club Park,0.142857143,0,0,0.285714286,0,0.142857143,0,0.428571429,0,0
Plantation_Deicke Park,0.228571429,0,0,0.285714286,0.028571429,0.057142857,0,0.885714286,0,0
Plantation_Fig Tree Park,0.30952381,0,0,0.642857143,0,0.047619048,0,0.428571429,0,0
Plantation_Hoffman Park,1,0,0,1,0,0,1,1,0,0
Plantation_Jacaranda Lakes Park,0.333333333,0,0,0.571428571,0,0.047619048,0,0.666666667,0.047619048,0
Plantation_Jack Carter Harmony Park,0,0,0,0,0,0,0,1,0,0
Plantation_Jim Ward Park,0.135135135,0,0.027027027,0.297297297,0,0.027027027,0,0.675675676,0,0
Plantation_Marcano Estates Park,1,0,0,0,0,0,0,0,0,0
Plantation_Mirror Lake Park,0.285714286,0,0,0.285714286,0,0.142857143,0,0.285714286,0,0
Plantation_PAL Park-Roy Salmon Stadium,0,0,0,0.333333333,0,0,0,0.666666667,0,0
Plantation_Park East Park,0.666666667,0,0,0.333333333,0,0.333333333,0,0.666666667,0,0
Plantation_Pine Island Park,0.088888889,0,0,0.422222222,0,0,0,0.733333333,0,0
Plantation_Plantation Central Park,0.149606299,0,0.002624672,0.296587927,0,0.034120735,0,0.748031496,0,0
Plantation_Plantation Preserve Park & Linear Trail,0.428571429,0,0.285714286,0.714285714,0.142857143,0,0,0.714285714,0.142857143,0
Plantation_Plantation Woods-Kennedy Park,0.197740113,0.011299435,0.005649718,0.807909605,0,0.050847458,0,0.192090395,0.005649718,0
Plantation_Pop Travers Park,0.111111111,0,0,0.222222222,0,0.111111111,0,0.777777778,0,0
Plantation_Rae Carole Armstrong Liberty Tree Park,0.294117647,0,0,0.444444444,0,0.130718954,0,0.640522876,0,0
Plantation_Seminole Park,0.294117647,0.058823529,0,0.705882353,0,0,0,0.705882353,0,0
Plantation_Sunset Park,0.113207547,0.018867925,0,0.264150943,0,0.056603774,0,0.660377358,0,0
Plantation_Tara Park,0.25,0,0,0.5,0,0,0,0.75,0,0
Plantation_Volunteer Park,0.205555556,0,0,0.511111111,0.005555556,0.061111111,0,0.616666667,0.005555556,0
Pompano Beach_Annie Adderly Gillis Park,0,0,0,0.333333333,0,0.333333333,0,1,0,0
Pompano Beach_Bill Keith Park,0.571428571,0,0,0.142857143,0,0,0,0.285714286,0,0
Pompano Beach_Canine Corner Dog Park,0.183098592,0,0.014084507,0.774647887,0,0.056338028,0,0.169014085,0,0
Pompano Beach_Exchange Club Park,0.384615385,0,0.038461538,0.307692308,0,0.038461538,0,0.346153846,0,0
Pompano Beach_Founders Park,0.2,0,0,0,0,0,0,0.8,0,0
Pompano Beach_Harbor's Edge Park,0.260504202,0,0.008403361,0.621848739,0.008403361,0.092436975,0,0.487394958,0,0
Pompano Beach_Highlands Park,0.294117647,0,0,0.411764706,0,0,0,0.294117647,0,0
Pompano Beach_Hillsboro Inlet Park,0.75,0,0,0.25,0,0,0,0.25,0,0
Pompano Beach_Hunters Manor Park,0,0,0,0.411764706,0.058823529,0.058823529,0,0.705882353,0,0
Pompano Beach_Indian Mound Park,0.464285714,0,0.071428571,0.375,0,0.125,0.125,0.303571429,0.053571429,0
Pompano Beach_McNab Park,0,0,0.1,0.1,0,0.1,0,0.9,0,0
Pompano Beach_McNair Park & Recreation Center,0,0,0,0,0,0.2,0,0.8,0,0
Pompano Beach_Mitchell Moore Park-Westside Park,0.142857143,0,0.035714286,0.428571429,0,0,0.035714286,0.535714286,0,0
Pompano Beach_North Ocean Park,0.630136986,0,0,0.287671233,0,0.068493151,0,0.287671233,0,0
Pompano Beach_North Pompano Park,0.461538462,0,0,0.153846154,0,0.076923077,0,0.769230769,0,0
Pompano Beach_Sand and Spurs Equestrian Park,0.5,0,0,0.5,0,0.25,0,0.5,0,0
Pompano Beach_Sgt. Chris Reyka Memorial Park,1,0,0,0,0,0,0,0,0,0
Southwest Ranches_Rolling Oaks Park,0,0,0,0.333333333,0,0.666666667,0,0.666666667,0,0
Southwest Ranches_Sunshine Ranches Equestrian Park,0.19047619,0,0,0.761904762,0,0,0,0.285714286,0,0
Sunrise_City Park,0.093023256,0,0,0.488372093,0,0.023255814,0,0.790697674,0,0
Sunrise_Cypress Preserve Park,0.203883495,0,0.009708738,0.398058252,0,0.038834951,0,0.669902913,0,0
Sunrise_Flamingo Park,0.11,0,0.01,0.45,0,0.01,0,0.68,0,0
Sunrise_Flamingo Road Linear Park,0,0,0,0.333333333,0,0,0,0.666666667,0,0
Sunrise_Lakeside Park,0.5,0,0,0,0,0,0,1,0,0
Sunrise_Nob Hill Soccer Club Park,0.172413793,0,0,0.379310345,0,0,0,0.551724138,0,0
Sunrise_Oak Hammock-Passive Park,0.295857988,0.00591716,0.023668639,0.366863905,0,0.047337278,0,0.627218935,0,0.00591716
Sunrise_Oscar Wind Park,0.325,0,0,0.4,0,0.1,0,0.625,0,0
Sunrise_Sawgrass Sanctuary Park,0.541666667,0,0,0.166666667,0,0.041666667,0,0.625,0,0
Sunrise_Shotgun Road Linear Park,0,0,0,0,0,0,0,1,0,0
Sunrise_Sunrise Athletic Complex,0.084745763,0,0.016949153,0.474576271,0,0.050847458,0,0.677966102,0,0
Sunrise_Sunrise Sportsplex,0.24,0,0,0.2,0,0,0,0.68,0,0
Sunrise_Sunrise Tennis Club,0.142857143,0,0.047619048,0.095238095,0,0.142857143,0,0.904761905,0,0
Sunrise_Welleby Park,0.147679325,0,0,0.658227848,0.004219409,0.046413502,0,0.459915612,0,0
Tamarac_Caporella Aquatic Center,0.095238095,0,0,0.595238095,0,0.047619048,0,0.333333333,0,0
Tamarac_Caporella Park,0.355932203,0,0,0.491525424,0,0.06779661,0,0.576271186,0,0
Tamarac_Mainlands Park,0.1,0,0,0.3,0,0,0,0.8,0,0
Tamarac_Sunset Point Park,0.198113208,0,0,0.641509434,0,0.08490566,0,0.405660377,0,0
Tamarac_Swim Central Annex Park,0,0,0,1,0,0,0,0,0,0
Tamarac_Tamarac Recreation Center,0.142857143,0,0,0.285714286,0,0.142857143,0,0.571428571,0,0
Tamarac_Tamarac Sports Complex,0.095238095,0,0.015873016,0.420634921,0.007936508,0.031746032,0.007936508,0.666666667,0.007936508,0
Tamarac_Tamarac Veterans Park-Dog Park,0.217948718,0.012820513,0,0.525641026,0,0.08974359,0.025641026,0.474358974,0,0
Tamarac_Tephford Park,0.196078431,0.019607843,0,0.37254902,0.019607843,0.098039216,0,0.705882353,0,0
Tamarac_Waters Edge Park,0.109756098,0,0,0.743902439,0,0.048780488,0,0.512195122,0,0
West Park_Mary Saunders Park,0,0,0,0.615384615,0,0,0,0.538461538,0,0
West Park_McTyre Park,0.181818182,0,0,0.5,0,0,0,0.545454545,0,0
West Park_Water Tower Park,0,0,0,1,0,0,0,0.5,0,0
Weston_Bonaventure Park,0,0,0,0.714285714,0,0,0,0.714285714,0,0
Weston_Eagle Point Park,0.4,0,0,0.6,0,0,0.2,0.8,0,0
Weston_Emerald Estates Park,0.27173913,0,0.02173913,0.608695652,0,0,0.010869565,0.641304348,0.02173913,0
Weston_Gator Run Park,0.352941176,0,0,0.647058824,0,0.029411765,0,0.264705882,0,0
Weston_Heron Park,0,0,0,0,0,0,0,0.833333333,0.166666667,0
Weston_Indian Trace Park,0.043478261,0,0,0.652173913,0,0,0,0.652173913,0,0
Weston_Library Park,0.24,0,0.2,0.08,0,0.16,0.08,0.52,0,0
Weston_Peace Mound Park,0.402843602,0,0.033175355,0.417061611,0,0.085308057,0.014218009,0.597156398,0.004739336,0
Weston_Regional Park,0.129251701,0.006802721,0.013605442,0.258503401,0,0.013605442,0,0.693877551,0,0
Weston_Tequestra Trace Park,0.086206897,0,0,0.413793103,0,0.034482759,0,0.637931034,0,0
Weston_Vista Park,0.098039216,0,0,0.411764706,0,0.019607843,0,0.647058824,0,0
Weston_Windmill Ranch Park,0,0,0,0.5,0,0,0,0.5,0,0
Wilton Manors_Colohatchee Park,0.221311475,0.008196721,0,0.672131148,0,0.024590164,0.008196721,0.43442623,0.008196721,0
Wilton Manors_Donn Eisele Park,0,0,0,0.25,0,0.25,0,1,0,0
Wilton Manors_Hagen Park,0.1,0,0,0.3,0.066666667,0.033333333,0,0.7,0,0
Wilton Manors_Island City Park Preserve,0.45,0,0,0.4,0,0.1,0,0.6,0.05,0
Wilton Manors_M.E. DePalma Park,0.833333333,0,0.166666667,0,0,0,0,0.166666667,0,0
Wilton Manors_Mickel Park,0.152777778,0,0,0.625,0,0.055555556,0,0.527777778,0,0
Wilton Manors_Richardson Historic Park and Nature Preserve,0.379746835,0,0.012658228,0.493670886,0,0.075949367,0.050632911,0.569620253,0,0.025316456
